Boro,street,RMSE,MAE,R2
BRONX,JACKSON AVENUE,32.216595472844546,24.824848042198667,0.525512165778605
BRONX,JEROME AVENUE,110.0552185141643,78.64484066531719,0.6084740471097183
BRONX,LAFAYETTE AVENUE,136.18811406420159,110.17974994057103,0.40010170830397707
BRONX,LONGWOOD AVENUE,91.96146062947795,69.1003070949584,0.4494201065017789
BRONX,MAJOR DEEGAN EXPRESSWAY,711.8749746704567,539.9169468023838,0.5826089284910325
BRONX,PELHAM BRIDGE,184.0232855960802,130.28864572842915,0.6770475069424025
BRONX,PELHAM PARKWAY,196.70113446299217,145.00369362902285,0.7706070881811611
BRONX,PELHAM PARKWAY SOUTH,139.83744783728184,119.39169273847415,0.004495104775806391
BRONX,PROSPECT AVENUE,49.168496045406116,36.66498900728987,0.6851111533875899
BRONX,RANDALL AVENUE,686.7123442275321,562.5253692522441,-0.048603345662121766
BRONX,RIVER AVENUE,46.75182690910967,35.114634933052486,0.7749324710350307
BRONX,SEDGWICK AVENUE,110.1706843650975,79.36621025140337,0.47493637131604827
BRONX,SOUTHERN BLVD,55.6219998829926,42.96520107776135,0.6102711861813311
BRONX,SOUTHERN BOULEVARD,311.2839189588393,220.43596444893112,0.2043010225288574
BRONX,VAN CORTLANDT PARK EAST,70.17113147570113,54.1033446512439,0.37683046305715695
BRONX,WASHINGTON AVENUE,69.46357609872805,50.0856360106909,0.584762198328105
BRONX,WEBSTER AVENUE,125.59110478504995,102.11176653169436,0.547111520615958
BRONX,WESTCHESTER AVENUE,101.65799098128343,79.3217673977377,0.7718246539598247
BRONX,WESTCHESTER AVENUE BRIDGE,129.76779524865393,96.40153654329069,0.7724103337846772
BRONX,WHITE PLAINS ROAD,78.34891434323421,60.32005511016612,0.5704432912255102
BRONX,BEDFORD PARK BOULEVARD,49.17603056463682,37.964201298795004,0.7532886063041122
BRONX,BOSTON ROAD,272.1032402788514,147.83091320177905,0.48436815198937777
BRONX,BROADWAY,159.46572734193958,119.10704428689522,0.3664259161100256
BRONX,BRONXWOOD AVENUE,94.17097180535987,63.88263814589556,-0.07191652330783072
BRONX,BRUCKNER BOULEVARD,271.8698604976316,201.14005866936878,0.4971310670451591
BRONX,EAST 138 STREET,202.39548029973767,147.21273603166853,0.42097154330408426
BRONX,EAST 149 STREET,98.68023304885578,75.63751748891977,0.7486927487567095
BRONX,EAST 161 STREET,126.13994658971261,90.15021812765664,0.3404566648505677
BRONX,EAST 163 STREET,114.28606335990747,85.58340265366016,0.6777453341066836
BRONX,EAST 174 ST BRIDGE,118.38723660903361,73.81370636706507,0.7026791218413726
BRONX,EAST FORDHAM ROAD,556.3324140388901,457.1569605054571,0.36097471801897496
BRONX,EAST GUN HILL ROAD,281.46679450176055,234.48788104214512,0.4054516227466356
BRONX,EAST TREMONT AVENUE,186.64087945385623,146.0490131837776,0.3747633939891517
BRONX,EXTERIOR STREET,1266.6752028633123,1151.0704566844995,0.029676441535897324
BRONX,GRAND CONCOURSE,165.33480068584274,111.38706399073436,0.5164247188480502
BRONX,HUNTS POINT AVENUE,181.5768024790237,141.58374230436576,0.13397315748063743
BROOKLYN,1 AVENUE,474.3965383408482,360.50317318564964,0.22899440790514014
BROOKLYN,26 AVENUE,79.38683332102472,53.97834173911496,0.7713275565300448
BROOKLYN,JACKIE ROBINSON PARKWAY,697.9939127105754,600.941492151331,-0.04022222560199107
BROOKLYN,JAMAICA AVENUE,139.05683391672994,90.50447954450335,0.6897547085884284
BROOKLYN,JJ BYRNE MEMORIAL BRIDGE,267.0178340640359,204.29306554082615,0.24633948498561042
BROOKLYN,KINGS HIGHWAY,156.28071941825556,107.5924121898529,0.39244116672002793
BROOKLYN,3 AVENUE,455.8989927053156,356.54974331367765,0.17276752537768225
BROOKLYN,LINDEN BOULEVARD,304.06844000084754,237.72523205096905,0.30781585273565715
BROOKLYN,MEEKER AVENUE,257.0519202368582,227.6363719593395,0.17438685334012072
BROOKLYN,METROPOLITAN AVENUE,132.8575644194358,100.78626098632813,0.601588322348126
BROOKLYN,MYRTLE AVENUE,71.85343205971874,57.1605667024632,0.5787452812138976
BROOKLYN,NEPTUNE AVENUE,136.4971786755589,95.5213346927724,0.6172652519049168
BROOKLYN,NEW YORK AVENUE,86.51796183356666,67.20230730063466,0.4076824099017241
BROOKLYN,NORTH CONDUIT AVENUE,316.13761676342796,232.60615547798776,0.611053086378943
BROOKLYN,OCEAN AVENUE,174.935272701602,119.8997762444314,0.6044877258398069
BROOKLYN,OCEAN PARKWAY,367.453105885458,272.58180324554445,0.24111101496831688
BROOKLYN,PARKSIDE AVENUE,210.4069263614897,184.1688485281808,0.42743063317118735
BROOKLYN,PENNSYLVANIA AVENUE,238.85474196928712,180.8471531804963,0.2873625028517732
BROOKLYN,PROSPECT AVENUE,247.03765703264287,212.59855914938038,0.2699876255509428
BROOKLYN,PULASKI BRIDGE,233.24668223440577,185.30731500363817,0.5001017057715873
BROOKLYN,4 AVENUE,203.94631505021815,141.70487420933384,0.6031100559020428
BROOKLYN,RALPH AVENUE,96.37411365542263,71.35086415076131,0.8449096904766683
BROOKLYN,REMSEN AVENUE,79.75926824060842,63.25489306094042,0.6233560203600907
BROOKLYN,SMITH STREET,101.99755794632142,80.15212567941641,0.34569436209439663
BROOKLYN,STATE STREET,128.19722959465952,94.31391684522906,0.3972286626384901
BROOKLYN,SURF AVENUE,214.1927344998608,191.03154691060385,-0.021859864969577147
BROOKLYN,SUTTER AVENUE,48.22567722089199,39.13360129462348,0.8202140560022065
BROOKLYN,TOMPKINS AVENUE,212.61684427339185,167.2412815483249,0.2591170072589589
BROOKLYN,WASHINGTON AVENUE,149.3482784894105,97.61747919527211,0.448229423507825
BROOKLYN,5 AVENUE,385.2188270618571,314.2456256366167,0.262717576247402
BROOKLYN,58 STREET,251.00052038729768,167.47497101717218,0.15421316673555452
BROOKLYN,65 STREET,207.5678767843306,156.05316408218877,0.504285524243351
BROOKLYN,86 STREET,156.81282584228805,118.20002310724541,0.44238414161993833
BROOKLYN,9 AVENUE,300.0908261624031,236.5512024245337,0.5600889019139516
BROOKLYN,9 STREET,99.36618272200909,71.900234369603,0.5311905938757339
BROOKLYN,ATLANTIC AVENUE,233.92732269164975,174.39562668733464,0.6086207106731933
BROOKLYN,AVENUE B,35.158126776551704,23.531454396802324,-0.05345867137253668
BROOKLYN,AVENUE D,40.90074777631936,31.884353396677692,0.8064305084274248
BROOKLYN,AVENUE J,86.84430927068229,68.20147782969849,0.49201281226544435
BROOKLYN,AVENUE M,114.46844967859589,77.3971086801191,0.3447790557991164
BROOKLYN,AVENUE V,69.1011055466109,49.69394225482793,-0.012296895767949678
BROOKLYN,BAY PARKWAY,123.30565388982073,97.55642216380049,0.7562859261435386
BROOKLYN,BEDFORD AVENUE,235.67480129091422,157.78436249152512,0.17701824257638576
BROOKLYN,BROADWAY,90.07018700902275,72.56966279682361,0.350410220249317
BROOKLYN,14 AVENUE,52.48613755677596,35.32076352510763,0.7282271571764165
BROOKLYN,BROOKLYN QUEENS EXPRESSWAY,1047.6857489108615,813.8907394688645,-0.012520297105531597
BROOKLYN,BUSHWICK AVENUE,286.0026909632479,211.12425455388663,0.48286801941054946
BROOKLYN,CHURCH AVENUE,75.15759366339195,58.450381363184455,0.5953861936992163
BROOKLYN,COLUMBIA STREET,74.9905664353149,54.8421869779175,0.6844312923322688
BROOKLYN,CORTELYOU ROAD,57.20078921783026,40.92589728266215,0.7196741749461171
BROOKLYN,CROPSEY AVENUE,242.85354898511906,200.80161124953895,0.44265862208824824
BROOKLYN,CROPSEY AVENUE BRIDGE,173.559903206986,119.85088215787104,0.7738427636338253
BROOKLYN,DEKALB AVENUE,39.927924220723064,31.037684947376974,0.6155813822124621
BROOKLYN,EMMONS AVENUE,162.41824183630632,115.1064364170924,0.7604234820426465
BROOKLYN,FLATBUSH AVENUE,231.5270887912317,181.56119676154466,0.3919752105862917
BROOKLYN,FLATLANDS AVENUE,108.27827480714164,78.75950582753057,0.8765467308501336
BROOKLYN,FLUSHING AVENUE,154.64428527967686,113.73475661101165,0.5057695060849037
BROOKLYN,FT HAMILTON PARKWAY,128.74309649741994,100.3968270122141,0.674468725024029
BROOKLYN,FULTON STREET,95.30355189485317,71.2382813484438,0.4501244042061465
BROOKLYN,FURMAN STREET,113.24764835725297,91.40710155780499,0.1154978566902286
BROOKLYN,GRAND STREET BRIDGE,126.64000483639776,94.61773380763094,0.35564397849000706
BROOKLYN,GREENPOINT AVENUE,138.3356593455868,100.28401172522342,0.6894405628828812
BROOKLYN,HAMILTON AVENUE BRIDGE,1596.5543469489091,1404.8708638078856,0.14296603335552005
BROOKLYN,HICKS STREET,245.8940904220744,182.78917015009912,0.2874558685295717
MANHATTAN,1 AVENUE,413.41373537208904,322.5571569924826,0.29436779311891903
MANHATTAN,10 AVENUE,685.1685516140384,564.4993905476663,0.17901287791509746
MANHATTAN,LAFAYETTE STREET,140.2405518061884,108.5048227373338,0.3783685252696959
MANHATTAN,LEXINGTON AVENUE,257.10203784015596,201.68257372484555,0.34657028111410315
MANHATTAN,MADISON AVENUE,274.2909398950768,202.95127133289014,0.5115362281614967
MANHATTAN,MADISON AVENUE BRIDGE,283.71690230079287,209.35350766389266,0.4435575408530176
MANHATTAN,MADISON STREET,78.58117399254127,62.954796587572936,0.49196256236781144
MANHATTAN,MANHATTAN AVENUE,38.39436557809661,26.651656097142485,0.5727695543420508
MANHATTAN,MANHATTAN BRIDGE,325.27891496690415,245.83702850341797,0.13978519589266658
MANHATTAN,MORNINGSIDE DRIVE,21.193963232094536,16.138411246405706,0.6587632267686074
MANHATTAN,PARK AVENUE,220.88215228734606,151.87305275634094,0.5523081585384095
MANHATTAN,PARK ROW,96.29847270709661,74.59668167961968,0.5396447907955897
MANHATTAN,WADSWORTH AVENUE,55.057493336006,33.97035279057243,0.3519715229495113
MANHATTAN,WEST 125 STREET,74.01638560887069,59.64442306518555,0.6870345732022548
MANHATTAN,WEST 165 STREET,223.84616841884687,167.83824778538124,0.15942322236163342
MANHATTAN,WEST 29 STREET,124.00525536709354,99.00652604536576,-0.06663667971079223
MANHATTAN,WEST 42 STREET,115.92297689596637,90.64582583201017,0.6096036120015931
MANHATTAN,WEST 53 STREET,129.32610768006938,107.7674631517987,0.2708139588148266
MANHATTAN,5 AVENUE,306.3225008258721,234.3311617924617,0.3943402040362186
MANHATTAN,WEST END AVENUE,110.38787114910296,83.68688007276886,0.6259285561442354
MANHATTAN,YORK AVENUE,184.33772975094053,140.78611964584377,0.4935597272584952
MANHATTAN,11 AVENUE,385.06188657871644,318.3985998397483,0.1603119609583481
MANHATTAN,7 AVENUE,447.7126356935597,382.3259099704116,0.4734397546269493
MANHATTAN,8 AVENUE,387.89336397205307,343.1633447980804,0.3579443925636181
MANHATTAN,9 AVENUE,203.42373851369322,168.84820556640625,0.04658163281599337
MANHATTAN,AMSTERDAM AVENUE,243.95006532406964,170.28634641876053,0.44719574731750544
MANHATTAN,AUDUBON AVENUE,46.10915100706684,35.3278452695071,0.3310271037705482
MANHATTAN,AVENUE B,42.021737594324506,27.550185225730715,0.010635678457232012
MANHATTAN,AVENUE OF THE AMERICAS,389.445981921389,331.64188907609315,0.37070275241090234
MANHATTAN,12 AVENUE,483.91909089928123,374.1146914459938,0.7236582796466239
MANHATTAN,BROADWAY,205.600548385325,163.36086549671418,0.5038571726455132
MANHATTAN,BROADWAY BRIDGE,375.29998846804625,282.74087962990035,0.31987486223309936
MANHATTAN,CENTRAL PARK SOUTH,170.52315561422415,140.02322107152554,0.409701969516288
MANHATTAN,CENTRAL PARK WEST,159.36385328642163,120.79000477367218,0.5174864102322625
MANHATTAN,CHRYSTIE STREET,179.53443365029705,150.39899006295713,0.20399437207625204
MANHATTAN,145 STREET BRIDGE,191.41762564894583,139.00214883004975,0.6620169471939691
MANHATTAN,COLUMBIA STREET,64.82015121967814,58.365592002868645,-0.08110628413346221
MANHATTAN,COLUMBUS AVENUE,221.17821339636035,178.20630285134268,0.5985476527745938
MANHATTAN,DYCKMAN STREET,71.05609973953405,54.99930477616799,0.6370901290777344
MANHATTAN,2 AVENUE,526.7375279141967,408.78308074538774,0.27189054070773355
MANHATTAN,F D R DRIVE,1085.0465978154066,839.8883589653119,0.1847455176853462
MANHATTAN,FREDERICK DOUGLASS BOULEVARD,83.39706501129467,63.11211536000076,0.6227515505829266
QUEENS,JACKIE ROBINSON PARKWAY,611.1735635837807,426.5870514983064,0.5226486668663277
QUEENS,JACKSON AVENUE,159.1503938392065,131.85277416636643,0.42183881177334637
QUEENS,JAMAICA AVENUE,140.29792062325092,103.55574935575875,0.4925783334481939
QUEENS,JJ BYRNE MEMORIAL BRIDGE,383.2306136690544,322.48214371999103,0.3986211848911656
QUEENS,JUNCTION BOULEVARD,104.82415966276214,80.25558389710986,0.537357700734231
QUEENS,KISSENA BOULEVARD,126.13662845070918,84.4168587771329,0.6599250132303256
QUEENS,LIBERTY AVENUE,179.86236811031404,132.7299920046393,0.3712302512019062
QUEENS,LINDEN BOULEVARD,155.56352446046273,110.46243998988713,0.5935141590205224
QUEENS,LONG ISLAND EXPRESSWAY,1413.3860101768762,1006.5666611220811,0.3666499404218784
QUEENS,MAIN STREET,236.60518811109802,183.41135516289856,0.3742648101353797
QUEENS,31 AVENUE,51.06664512243813,32.12761186920436,0.6683842885283677
QUEENS,MARATHON PARKWAY,53.382662889497844,36.48969713476804,0.6435852984377978
QUEENS,MERRICK BOULEVARD,176.21104313774796,122.31252624376685,0.6777261071363041
QUEENS,34 AVENUE,103.23291688866136,81.94650776711777,0.5102094623644184
QUEENS,MYRTLE AVENUE,138.32054833831202,111.93750455086692,0.08074624602829905
QUEENS,NORTH CHANNEL BRIDGE,147.29255045214884,111.88895342187973,0.7802315876294031
QUEENS,NORTHERN BLVD,177.50471670647283,127.04760020488017,0.6342051442232997
QUEENS,NORTHERN BOULEVARD,252.616576595694,187.86570575225974,0.6593914593172464
QUEENS,39 AVENUE,98.71038842696979,75.86250517184918,0.1860963151596826
QUEENS,PARSONS BOULEVARD,81.2681272570428,61.60747183744724,0.6887489201999426
QUEENS,PULASKI BRIDGE,317.95320755617297,230.29254781788794,0.43487611728833087
QUEENS,QUEENS BLVD,283.711432406838,221.64722086588543,0.39397158777788954
QUEENS,QUEENS BOULEVARD,357.1605677047282,230.6900675026368,0.38496402512104977
QUEENS,RIKERS ISLAND BRIDGE,150.62622401914714,112.49196794818592,0.3316454445283631
QUEENS,ROCKAWAY BEACH BOULEVARD,62.1231965103731,43.47497491439184,0.8160460590934316
QUEENS,45 AVENUE,75.90365491934747,56.76924511992816,0.4456258067203408
QUEENS,ROCKAWAY BOULEVARD,581.181551145563,412.0190080954314,0.3146069996509405
QUEENS,ROOSEVELT AVENUE,146.86141162910178,120.35149499243433,0.3251191438844243
QUEENS,ROOSEVELT AVENUE BRIDGE,113.29388285069088,77.884119769327,0.7183860502774054
QUEENS,SEAGIRT BOULEVARD,196.32419009193723,135.80504335540695,0.6148089948644146
QUEENS,SOUTH CONDUIT AVENUE,474.9810425207325,358.5561848816556,0.5759030706618955
QUEENS,47 AVENUE,50.52271274680809,26.230677559143963,0.1032406602013407
QUEENS,STEINWAY STREET,70.78488397723876,57.169845140049226,0.5419125831264116
QUEENS,SUNRISE HIGHWAY,264.79717013640317,188.52474942269805,0.8622654231173398
QUEENS,SUTTER AVENUE,81.42082029328785,60.64850756017173,0.5625682457371278
QUEENS,UNION TURNPIKE,215.52486735608224,140.3948880650498,0.5389718419292547
QUEENS,UTOPIA PARKWAY,113.07540734513806,75.68589856074406,0.5784440494639937
QUEENS,48 STREET,205.04072806533225,137.96464645784664,0.3580100193461103
QUEENS,VERNON BOULEVARD,59.182057898672696,42.80458312384826,0.7988606623851282
QUEENS,WOODHAVEN BOULEVARD,432.9203303080822,343.1710195684576,0.28348471264242026
QUEENS,58 STREET,199.5874652188429,161.63483837038973,0.2567708192914743
QUEENS,73 PLACE,45.846888977086444,34.96667349146877,0.5540326477981262
QUEENS,80 STREET,110.99308744010314,81.3190536712135,0.7376541819640066
QUEENS,111 STREET,54.62685788795388,40.499931494999295,0.7532034074725154
QUEENS,ASTORIA BOULEVARD,492.7709612443807,364.67475640283874,0.2516577849660724
QUEENS,ATLANTIC AVENUE,289.73767817943695,205.43296773810135,0.33195273202479547
QUEENS,BEACH 20 STREET,139.9862926602578,104.00088333439183,0.1922590140671775
QUEENS,BEACH CHANNEL DRIVE,93.26455319220565,70.12924334877415,0.8318849409238446
QUEENS,BELT PARKWAY,813.94766871435,647.2453673801342,0.6091658492222238
QUEENS,BORDEN AVENUE BRIDGE,191.67905816735004,161.98050736792294,0.2694437079784203
QUEENS,14 AVENUE,228.08806546274639,202.84644317626953,-0.10775152338853
QUEENS,CENTRAL AVENUE,113.99759385671621,89.05688399773139,0.6312523339883791
QUEENS,COOPER AVENUE,172.3686369179155,144.98214680159174,0.19096208382494284
QUEENS,CRESCENT STREET,111.495427301652,91.54698644059428,0.5498327123900661
QUEENS,CROSS BAY BOULEVARD,203.8895528983857,145.31765445910003,0.4836655629001336
QUEENS,188 STREET,153.48781719246992,110.88579412948253,0.5370378527924441
QUEENS,FLUSHING AVENUE,143.75590428206664,105.8398713031917,0.44358026399930395
QUEENS,FRESH POND ROAD,68.93496144177738,52.84180329975329,0.3857839483027157
QUEENS,21 STREET,255.27445698590404,205.56195811326592,0.34660728574350674
QUEENS,GRAND STREET BRIDGE,119.90671300987763,76.90015013122559,0.5695827856775639
QUEENS,HILLSIDE AVENUE,292.1987812583608,196.57999471652727,0.618290250391967
QUEENS,HOLLIS COURT BOULEVARD,78.88779171608222,51.58805923861392,0.7242662275456263
QUEENS,HOOK CREEK BRIDGE,334.9131373455524,230.75421317966504,0.7753262621693737
STATEN ISLAND,HYLAN BOULEVARD,281.26782825529745,215.77255046074026,0.5159780599439254
STATEN ISLAND,MANOR ROAD,102.14081551892805,72.91793802615643,0.6059035122726459
STATEN ISLAND,MARTLING AVENUE,165.8244919306137,116.37081938758891,0.7068508343151658
STATEN ISLAND,MEEKER AVENUE,277.8900837835097,211.30679841743884,0.06204755721429589
STATEN ISLAND,OCEAN TERRACE,102.79176029968873,68.41782812586972,0.48042982039036075
STATEN ISLAND,RICHMOND AVENUE,333.2454897348363,229.30353323321475,0.7653697265922461
STATEN ISLAND,RICHMOND ROAD,208.6873724078049,146.86086694021074,0.527053118703867
STATEN ISLAND,ROCKLAND AVENUE,104.50351903831611,71.99690025927974,0.8049834956589893
STATEN ISLAND,SURF AVENUE,78.53952142332727,53.92156638909335,0.6954378122183719
STATEN ISLAND,TODT HILL ROAD,70.77577463676802,53.4846365381983,0.8844191914812325
STATEN ISLAND,VICTORY BOULEVARD,296.81382693567934,215.29721052576807,0.37344273931603633
STATEN ISLAND,AMBOY ROAD,136.24402105300229,81.44727514097359,0.5459177258748702
STATEN ISLAND,ARTHUR KILL ROAD,119.00984058477583,86.28194286358071,0.6777546554113336
STATEN ISLAND,BROADWAY,225.22284424974666,170.136828813818,0.2763064837651118
STATEN ISLAND,FRESH KILLS BRIDGE,488.80039834487195,334.8756480890579,0.5594511607172765
STATEN ISLAND,HUGUENOT AVENUE,63.21390770518258,45.67710686795538,0.7891610322160111
